"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2018","6.23","6.21","6.25","6.17","292.11M","0.65%"
"05/24/2018","6.19","6.18","6.24","6.13","437.37M","0.00%"
"05/23/2018","6.19","6.01","6.19","6.01","442.96M","1.98%"
"05/22/2018","6.07","6.12","6.14","6.01","518.27M","-0.65%"
"05/21/2018","6.11","6.25","6.25","6.01","640.62M","-0.65%"
"05/18/2018","6.15","6.25","6.31","6.14","483.72M","-0.65%"
"05/17/2018","6.19","6.15","6.29","6.14","519.78M","0.65%"
"05/16/2018","6.15","6.10","6.21","6.06","553.83M","0.16%"
"05/15/2018","6.14","6.32","6.32","6.04","963.53M","-3.76%"
"05/14/2018","6.38","6.40","6.46","6.36","523.14M","0.31%"
"05/11/2018","6.36","6.32","6.49","6.26","1.21B","-2.15%"
"05/10/2018","6.50","6.45","6.51","6.43","994.08M","1.72%"
"05/09/2018","6.39","6.28","6.40","6.25","596.76M","2.08%"
"05/08/2018","6.26","6.22","6.26","6.17","506.61M","0.64%"
"05/07/2018","6.22","6.08","6.27","6.07","687.62M","4.01%"
"05/04/2018","5.98","5.80","5.98","5.78","400.66M","2.75%"
"05/03/2018","5.82","5.69","5.85","5.64","443.15M","2.83%"
"05/02/2018","5.66","5.67","5.72","5.63","268.25M","-0.35%"
"05/01/2018","5.68","5.61","5.68","5.55","253.79M","1.07%"
"04/30/2018","5.62","5.67","5.72","5.60","327.84M","-0.71%"
"04/27/2018","5.66","5.74","5.76","5.62","400.85M","0.53%"
"04/26/2018","5.63","5.58","5.64","5.51","375.82M","3.87%"
"04/25/2018","5.42","5.50","5.54","5.26","588.49M","-1.99%"
"04/24/2018","5.53","5.62","5.72","5.46","414.60M","-1.25%"
"04/23/2018","5.60","5.74","5.79","5.57","427.51M","-2.10%"
"04/20/2018","5.72","5.72","5.80","5.69","386.20M","-0.17%"
"04/19/2018","5.73","5.79","5.83","5.67","472.00M","-3.05%"
"04/18/2018","5.91","5.89","5.98","5.82","391.36M","-0.51%"
"04/17/2018","5.94","5.84","5.96","5.78","447.23M","2.59%"
"04/16/2018","5.79","5.79","5.82","5.69","350.79M","0.00%"
"04/13/2018","5.79","5.93","5.94","5.74","503.04M","-1.36%"
"04/12/2018","5.87","5.75","5.88","5.71","593.92M","3.71%"
"04/11/2018","5.66","5.68","5.72","5.62","460.24M","-0.70%"
"04/10/2018","5.70","5.62","5.72","5.56","764.75M","5.75%"
"04/09/2018","5.39","5.42","5.55","5.37","499.52M","0.56%"
"04/06/2018","5.36","5.43","5.54","5.33","662.99M","-3.07%"
"04/05/2018","5.53","5.71","5.73","5.46","701.24M","-2.30%"
"04/04/2018","5.66","5.38","5.67","5.35","789.17M","0.53%"
"04/03/2018","5.63","5.70","5.76","5.53","667.43M","1.81%"
"04/02/2018","5.53","5.72","5.87","5.44","922.09M","-4.49%"
"03/29/2018","5.79","5.60","5.89","5.52","916.63M","4.70%"
"03/28/2018","5.53","5.60","5.73","5.42","945.91M","-1.95%"
"03/27/2018","5.64","6.19","6.25","5.50","1.41B","-7.69%"
"03/26/2018","6.11","5.95","6.11","5.90","611.43M","4.98%"
"03/23/2018","5.82","6.06","6.07","5.81","735.62M","-3.80%"
"03/22/2018","6.05","6.15","6.20","6.01","551.20M","-2.58%"
"03/21/2018","6.21","6.23","6.30","6.18","438.69M","-0.48%"
"03/20/2018","6.24","6.03","6.28","6.03","554.70M","3.48%"
"03/19/2018","6.03","6.20","6.23","5.92","713.77M","-3.67%"
"03/16/2018","6.26","6.25","6.28","6.21","399.46M","0.48%"
"03/15/2018","6.23","6.23","6.32","6.19","401.95M","0.16%"
"03/14/2018","6.22","6.24","6.26","6.16","505.49M","0.48%"
"03/13/2018","6.19","6.29","6.36","6.15","619.77M","-0.80%"
"03/12/2018","6.24","6.17","6.33","6.17","605.06M","1.79%"
"03/09/2018","6.13","6.08","6.15","6.06","505.53M","1.66%"
"03/08/2018","6.03","6.07","6.07","5.98","411.91M","-0.33%"
"03/07/2018","6.05","5.95","6.10","5.95","581.21M","0.00%"
"03/06/2018","6.05","5.98","6.07","5.93","636.81M","2.72%"
